name,sector,url,city
TRU,Otro,https://trugroup.tech/,
TRIBUTI,Asociado,https://tributi.com,
TPAGA,Asociado,https://tpaga.co/,
TAPI,Asociado,https://tapi.la/,
SYNERGYPAY,Pagos Digitales,https://synergypay.co/,
SUPERPAY,Pagos Digitales,https://supergiros.lpages.co/superpay/,
SUMUP,Pagos Digitales,https://sumup.co/,
SUEÑOS,Asociado,https://suenos.co/,
SOYYO,Asociado,https://soyyo.co,
ZIRO,Crédito Digital,https://somosziro.com/,
PLENTI,Crypto & Blockchain,https://somosplenti.com/,
PINGÜINO,Asociado,https://somospagos.com/,
SEGURO CANGURO,Asociado,https://segurocanguro.com/,
RIPPLE,Afiliado,https://ripple.com,
RENTEK,Asociado,https://rentek.com.co/,
RED 5G,Afiliado,https://red5g.co/,
RECAUDIA,Asociado,https://recaudia.com/nebula,
R2,Crédito Digital,https://r2.co/,
QUALITA CORP S.A.S,Regtech,https://qualitacorp.com/,
QNT,Asociado,https://qnt.com.co/,
QIIP,PFM & Wealthtech,https://qiip.com.co/,
PROMETEO,Finanzas Empresariales,https://prometeoapi.com/,
PRESTANZA,Asociado,https://prestanza.com/,
PRESTAGENTE,Asociado,https://prestagente.com/,
POWWI,Asociado,https://powwi.co/,
FUNDACIÓN DELAMUJER,Afiliado,https://portales.fundaciondelamujer.com/,
POMELO,Asociado,https://pomelo.la/ar/,
PLINTRON,Afiliado,https://plintron.co,
PHYLO,Regtech,https://phylo.co/,
"POSSE HERRERA RUÍZ, PHR S.A.",Afiliado,https://phrlegal.com/,
PAYVALIDA,Asociado,https://payvalida.com,
PAYRETAILERS,Asociado,https://payretailers.com/es/,
PAYMENTS WAY,Asociado,https://paymentsway.co/,
SIMPLE S.A.,Entidades Financieras,https://pagosimple.com,
PAGAME,Pagos Digitales,https://pagame.com.co/,
OWO TECH,Asociado,https://owo.com.co/,
ONEPAY,Pagos Digitales,https://onepay.ai/,
ONE2CREDIT,Asociado,https://one2credit.com,
OLIMPIA IT S.A.S.,Afiliado,https://olimpiait.com/,
NOVAFIANZA,Crédito Digital,https://novafianza.com/,
NIBI,Crowdfunding,https://nibi.com.co/,
INTERAXA,Afiliado,https://mutant.com.br/es/home-espanol/,
MULTIPRESTAMO,Crédito Digital,https://multiprestamo.com/,
MOVILSERVICIOS,Asociado,https://movilservicios.com.co/,
MILIO,Asociado,https://milio.com.co/,
LYRA,Asociado,https://lyra.com/la/,
LINXE,Asociado,https://linxe.com/web/index.html,
LET´S BIT,Asociado,https://letsbit.io/,
KRAVATA,Asociado,https://kravata.co/,
KOYWE,Afiliado,https://koywe.com/es,
KOIBANX,Crypto & Blockchain,https://koibanx.com,
KLYM,Asociado,https://klym.com/co/,
KIBAN,Proveedores de Software,https://kiban.mx/,
KALA,Regtech,https://kala.tech/,
K2 PARTNERING SOLUTIONS S A S,Afiliado,https://k2partnering.com/,
INVERTI,Asociado,https://inverti.co/,
PAGSEGURO,Pagos Digitales,https://international.pagseguro.com/,
"INCODE TECHNOLOGIES, INC",Afiliado,https://incode.com/,
KPMG COLOMBIA,Empresas de Consultoría,https://home.kpmg/co/es/home.html,
GLIKR S.A.S.,Asociado,https://glikr.com/,
VAAS,Regtech,https://getvaas.com/,
GLIM,Neobancos,https://getglim.com/,
GASES DEL CARIBE,Afiliado,https://gascaribe.com/,
FPAY,Asociado,https://fpay.cl/,
FLYPASS,Asociado,https://flypass.com.co/,
FINESA S.A (FINANPRIMAS),PFM & Wealthtech,https://finesa.com.co/finanprimas-virtual/,
FINERIO,Asociado,https://finerioconnect.com/,
FINANCAP,Crédito Digital,https://financap.com,
FINAMCO,Finanzas Empresariales,https://finamco.co/,
FIE,Asociado,https://fie.com.co,
FONDO DE GARANTÍAS S.A. CONFÉ,Afiliado,https://fgconfe.com/,
EXCELCREDIT,Asociado,https://excelcredit.co/,
EPAYCO,Asociado,https://epayco.co,
EMONKEY,Asociado,https://emonkey.com.co/,
CRÉDITOS QUICK,Asociado,https://duna.com.co,
DIRECT TRADING TECHNOLOGIES,Afiliado,https://dttshares.com/,
DRUO,Asociado,https://druo.com,
DIGITAL CONSULTING GROUP,Afiliado,https://digitalcg.com.co,
DAVIPLATA,Pagos Digitales,https://daviplata.com,
CREZCAMOS,Asociado,https://crezcamos.com/,
CREDITOP COLOMBIA SAS,Asociado,https://creditop.co/,
CREDISEGURO,Asociado,https://crediseguro.co,
CREDINTEGRAL,Afiliado,https://credintegral.com.co/,
CREDI LIKE,Asociado,https://credilike.com.co/,
CREDIJUSTO,Asociado,https://credijusto.com,
CREDIFAMILIA,Afiliado,https://credifamilia.com/,
COMPENSAR,Afiliado,https://corporativo.compensar.com/credito/jovenes?gclid=CjwKCAjw_YShBhAiEiwAMomsELnIk5A1s2E3TBPSwt4SiBl_vuIxCzTH4-8UmI3Gt8qUgTZI7eXrlhoCXdcQAvD_BwE,
COMBOPAY,Asociado,https://combopay.co/,
COLLECT PAY,Asociado,https://collectpay.co/,
COINK,Asociado,https://coink.com/,
BLOOM,Crowdfunding,https://co.inversionesbloom.com/,
ADDI,Crédito Digital,https://co.addi.com/,
CERTIKA,Afiliado,https://certika.co/,
CELYA,Pagos Digitales,https://celya.co,
CARGAYA,Asociado,https://cargaya.com/,
POCKI,Pagos Digitales,https://capitalpocket.app/,
CANNVEST,Asociado,https://cannvest.co,
BRIGARD & URRUTIA ABOGADOS,Afiliado,https://bu.com.co/es,
GO BRAVO,Asociado,https://bravocredito.co/,
BITSO,Proveedores de Software,https://bitso.com/,
BITPOINT,Crypto & Blockchain,https://bitpointlatam.com/,
BEMOBI,Afiliado,https://bemobi.com/,
BELVO,Proveedores de Software,https://belvo.com,
BANCO SERFINANZA,Afiliado,https://bancoserfinanza.com,
BANCA DE INVERSIONES DE OCCIDENTE,Asociado,https://bancadeinversiondeoccidente.com/,
AVANZO,Asociado,https://avanzo.co/,
ARMATUVACA.COM,Asociado,https://armatuvaca.com/,
LOAN LINK,Asociado,https://app.loanlink.com.co/,
ANTICIPO,Asociado,https://anticipo.com.co/,
ALPRESTAMO,Asociado,https://alprestamo.com/ar/principal,
ÁLAGA,Crédito Digital,https://alaga.com.co/,
AGRICAPITAL,Asociado,https://agricapital.com.co/,
ADVANCE - ADELANTA TU PAGO,Crédito Digital,https://adelantatupago.com,
ACCIONES Y VALORES,Afiliado,https://accivalores.com,
HOLA PRÉSTAMO,Asociado,https://4toldfintech.com/,
2INNOVATE,Afiliado,https://2innovateit.com/,
PAGOMÁS (SIMILTECH),Asociado,http://wwwpagomas.com.co,
WADANA,Asociado,http://www.wadana.co,
UBUNTEC,Asociado,http://www.ubuntec.net,
TRANSFIRIENDO,Pagos Digitales,http://www.transfiriendo.com/,
TEKBEES,Regtech,http://www.tekbees.com,
TECA,Asociado,http://www.teca.com.co,
TCF GROUP,Otro,http://www.tcf.com.co,
MAKERS SOLUTIONS,Asociado,http://www.somosmakers.co/,
SEMPLI,Asociado,http://www.sempli.co,
RAPICREDIT,Asociado,http://www.rapicredit.com/,
PUNTORED,Asociado,http://www.puntored.co/,
PANDAID,Asociado,http://www.pandaid.com/emision-instantanea/,
OPEN2BANKING,Pagos Digitales,http://www.open2banking.com/,
NUVU,Afiliado,http://www.nuvu.cc,
NIMMOK,Afiliado,http://www.nimmok.com/,
MAMBU,Afiliado,http://www.mambu.com/,
LIQUITECH,Asociado,http://www.liquitech.co,
KUENTA,Asociado,http://www.kuenta.co/,
INVEST LATAM,Asociado,http://www.investlatam.com,
IMIX,Asociado,http://www.imix.com.co/,
GLOBAL 66,Asociado,http://www.global66.com,
FINSOCIAL,Asociado,http://www.finsocial.co,
FACTURAENLINEA.COEBILL,Asociado,http://www.facturaenlinea.co/,
FACTCIL,Asociado,http://www.factcil.com/,
EY COLOMBIA,Afiliado,http://www.ey.com/co/es/home,
DATAINNOVA - IDENTIDAPP.COM - DATARIESGOS.COM - CERTIFICAR.CO,Asociado,http://www.datainnova.co,
VIVE FUTURO,Asociado,http://www.credifile.com,
FONDO DE COBERTURAS CREDITICIAS,Asociado,http://www.coberturascrediticias.com,
AGAVAL,Asociado,http://www.agaval.com/,
TRANQUI,Asociado,http://tranquifinanzas.com,
TOWERTECH,Asociado,http://towertech-americas.webnode.com/,
NOVOPAYMENT,Asociado,http://novopayment.com,
MOVII,Asociado,http://movii.com.co,
MINKA,Asociado,http://minka.io,
KUSHKI,Asociado,http://kushkipagos.com/,
JUANCHO TE PRESTA,Asociado,http://juanchotepresta.com,
GARANTÍAS COMUNITARIAS,Asociado,http://garantiascomunitarias.com,
CONTRATOMARCO,Asociado,http://contratomarco.co,
GRUPO COOMEVA,Afiliado,http://Coomeva.com.co,
AXCES CAPITAL SAS,Finanzas Empresariales,//www.axces.com.co,
SUPRE,Crédito Digital, https://supre.com.co,
SURETI SAS,Asociado,,
BRILLA,Crédito Digital,,
KONCILIA SAS,Afiliado,,
,Finanzas Empresariales,,
BPC COLOMBIA SAS,Afiliado,,
PAYNET SAS,Asociado,,
NEXA BPO,Afiliado,,
UCREDIT SKILLS,Crédito Digital,,
INSWITCH COLOMBIA SAS,Afiliado,,
